Вверх,Up,2009,США,Мультфильм
Балто,Balto,1995,США,Мультфильм
Холодное сердце,Frozen,2013,США,Мультфильм
Ледниковый период,Ice Age,2002,США,Мультфильм
Мадагаскар,Madagascar,2005,США,Мультфильм
Леди и бродяга,Lady and the Tramp,1955,США,Мультфильм
Король Лев,The Lion King,1994,США,Мультфильм
Красавица и чудовище,Beauty and the Beast,1991,США,Мультфильм
Аладдин,Aladdin,1992,США,Мультфильм
Рапунцель: Запутанная история,Tangled,2010,США,Мультфильм
Русалочка,The Little Mermaid,1989,США,Мультфильм
Кошмар перед Рождеством,The Nightmare Before Christmas,1993,США,Мультфильм
Город героев,Big Hero 6,2014,США,Мультфильм
ВАЛЛ·И,WALL·E,2008,США,Мультфильм
Тайна третьей планеты,,1981,СССР,Мультфильм
Как приручить дракона,How to Train Your Dragon,2010,США,Мультфильм
Корпорация монстров,"Monsters, Inc.",2001,США,Мультфильм
Шрек,Shrek,2001,США,Мультфильм
Рататуй,Ratatouille,2007,США,Мультфильм
Суперсемейка,,1956,СССР,Мультфильм
Рейд,Serbian Mount,2011,"Индонезия, США, Франция",Боевик
Рэмбо: Первая кровь,First blood,1982,США,Боевик
Kingsman: Секретная служба,Kingsman: The Secret Service,2014,Великобритания,Боевик
Крепкий орешек,Die Hard,1988,США,Боевик
Смертельное оружие,Lethal Weapon,1987,США,Боевик
Коммандос,Commando,1985,США,Боевик
Схватка,Heat,1995,США,Боевик
Перевозчик,The Transporter,2002,"Франция, США",Боевик
Гнев,Man on Fire,2004,"США, Великобритания",Боевик
Святые из Бундока,The Boondock Saints,1999,"Канада, США",Боевик
Заложница,Taken,2007,"Франция, США, Великобритания",Боевик
Беглец,The Fugitive,1993,США,Боевик
Скала,The Rock,1996,США,Боевик
Черный ястреб,Black Hawk Down,2001,"США, Великобритания",Боевик
Механик,The Mechanic,2010,США,Боевик
Неудержимые,The Expendables,2010,США,Боевик
Из Парижа с любовью,From Paris with Love,2009,"Франция, США",Боевик
Правдивая ложь,True Lies,1994,США,Боевик
РЭД,RED,2010,США,Боевик
Команда «А»,The A-Team,2010,США,Боевик
"Хороший, плохой, злой","Il buono, il brutto, il cattivo",1966,"Италия, Испания, Германия (ФРГ)",Вестерн
Непрощенный,Unforgiven,1992,США,Вестерн
За пригоршню долларов,Per un pugno di dollari,1964,"Италия, Испания, Германия (ФРГ)",Вестерн
Однажды на Диком Западе,C'era una volta il West,1968,"Италия, США, Испания",Вестерн
Джанго освобожденный,Django Unchained,2012,США,Вестерн
Мэверик,Maverick,1994,США,Вестерн
Счастливчик Люк,Lucky Luke,1991,"Италия, США",Вестерн
Мокасины Маниту,Der Schuh des Manitu,2001,Германия,Вестерн
Как трусливый Роберт Форд убил Джесси Джеймса,The Assassination of Jesse James by the Coward Robert Ford,2007,"США, Канада, Великобритания",Вестерн
Джанго,Django,1966,"Италия, Испания",Вестерн
Два мула для сестры Сары,Two Mules for Sister Sara,1969,"США, Мексика",Вестерн
Великолепная семёрка,The Magnificent Seven,1960,США,Вестерн
Тумстоун: Легенда дикого запада,Tombstone,1993,США,Вестерн
Быстрый и мертвый,The Quick and the Dead,1995,"США, Япония",Вестерн
За пригоршню динамита,Giu la testa,1971,Италия,Вестерн
Дикая банда,The Wild Bunch,1969,США,Вестерн
Железная хватка,True Grit,2010,США,Вестерн
Буч Кэссиди и Сандэнс Кид,Butch Cassidy and the Sundance Kid,1969,США,Вестерн
Поезд на Юму,3:10 to Yuma,2007,США,Вестерн
Одинокий рейнджер,The Lone Ranger,2013,США,Вестерн
Спасти рядового Райана,Saving Private Ryan,1998,США,Военный
Взвод,Platoon,1986,"Великобритания, США",Военный
Освобождение: Битва за Берлин,,1971,СССР,Военный
"Женя, Женечка и «Катюша»",,1968,СССР,Военный
Апокалипсис сегодня,Apocalypse Now,1979,США,Военный
Тонкая Красная Линия,The Thin Red Line,1988,США,Военный
Сталинград,,2013,Россия,Военный
"Аты-баты, шли солдаты...",,1976,СССР,Военный
Иди и смотри,,1985,СССР,Военный
Цельнометаллическая оболочка,Full Metal Jacket,1987,"Великобритания, США",Военный
Военно-полевой госпиталь М.Э.Ш.,MASH,1969,США,Военный
Брестская крепость,,2010,"Россия, Беларусь",Военный
...А зори здесь тихие,,1972,СССР,Военный
Они сражались за Родину,,1975,СССР,Военный
В бой идут одни «старики»,,1973,СССР,Военный
Перл Харбор,Pearl Harbour,2001,США,Военный
Повелитель бури,The Hurt Locker,2008,США,Военный
Баллада о солдате,,1959,СССР,Военный
Подводная лодка,Das Boot,1981,Германия (ФРГ),Военный
9 рота,,2005,Россия,Военный
Десять негритят,,1987,СССР,Триллер
Остров проклятых,Shutter Island,2009,США,Триллер
Семь,Se7en,1995,США,Триллер
Молчание ягнят,The Silence of the Lambs,1990,США,Триллер
Престиж,The Prestige,2006,"США, Великобритания",Триллер
Игра,The Game,1997,США,Триллер
Шестое чувство,The Sixth Sense,1999,США,Триллер
Подозрительные лица,THe Usual Suspects,1995,"США,",Триллер
Исчезнувшая,Gone Girl,2014,США,Триллер
Подмена,Changeling,2008,США,Триллер
Психо,Psycho,1960,США,Триллер
Мыс  страха,Cape Fear,1991,США,Триллер
Бойцовский клуб,Fight Club,1999,"США, Германия",Триллер
Отступники,The Departed,2006,"США, Гонконг",Триллер
Счастливое число Слевина,Lucky Number Slevin,2005,"Германия, США",Триллер
Жизнь Дэвида Гейла,The Life of David Gale,2002,"США, Германия, Великобритания",Триллер
Сердце Ангела,Angel Heart,1987,США,Триллер
Законопослушный гражданин,Law Abiding Citizen,2009,США,Триллер
Таинственная река,Mystic River,2003,"США, Австралия",Триллер
Лучшее предложение,La migliore offerta,2012,Италия,Триллер
Елизавета,Elisabeth,1998,Великобритания,История
Джон Ф. Кеннеди: Выстрелы в Далласе,JFK,1991,"США, Франция",История
Ганди,Gandhi,1982,"Великобритания, Индия",История
Андрей Рублев,,1966,СССР,История
Железная леди,The Iron Lady,2011,"Великобритания,Франция",История
Война и мир,,1965,СССР,История
Гладиатор,Gladiator,2000,"США, Великобритания",История
Александр,Troy,2004,"США, Мальта, Великобритания",История
