Мультфильм/ Анимационный,Женщины,Эльза (Frozen),Валл-И (Ева),Эпоха играет роль
Боевик,Мужчины,Джон Уик,Джейсон Стэйтем в любом фильме Джейсона Стэйтема,Эпоха играет роль
Боевик,Женщины,Невеста (Убить Билла),Сара Коннор (Терминатор 2: Судный день ),Эпоха играет роль
Вестерн,Мужчины,Одинокий рейнджер,Клинт Иствуд из любого вестерна,Эпоха играет роль
Триллер,Мужчины,ДиКаприо в Начале,Тайлер Дёрден,Эпоха играет роль
Триллер,Женщины,Анджелина Джоли в Подмене,Джоди фостер (Молчание ягнят),Эпоха играет роль
Комедия ,Мужчины,"Брэдли Купер в ""Мальчишнике в Вегасе""",Брюс Всемогущий,Эпоха играет роль
Комедия ,Женщины,Плохая училка,Мерлин Монро в джазе только девушки,Эпоха играет роль
Мелодрама,Мужчины,Гэтсби,Джонни Кастл Грязные танцы,Эпоха играет роль
Мелодрама,Женщины,Амели,Одри Хепберн (завтрак у тиффани),Эпоха играет роль
Приключения,Мужчины,Джилленхол в Принце Персии,Индиана Джонс,Эпоха играет роль
Приключения,Женщины,"Рейчел МакАдамс в ""Шерлоке Холмсе""",Лара Крофт,Эпоха играет роль
Ужасы,Мужчины,Джонни Депп в Сонной лощине,Джейсон в хоккейной маске,Эпоха играет роль
Ужасы,Женщины,"Дэниел Рэдклифф в ""Женщине в черном""",Киану Ривз в Константине,Эпоха играет роль
Фантастика,Мужчины,Спок в Звездном пути (новый),Оби ван Кеноби (молодой),Эпоха играет роль
Фантастика,Женщины,Грань будущего Рита Вратасски в экзо скелете,Лилу Даллас (Пятый Элемент),Эпоха играет роль
Фэнтези,Мужчины,Ли Пейс как Трандуил,Ван Хельсинг,Эпоха играет роль
Мультфильм/ Анимационный,Мужчины,Мистер Исключительный (Суперсемейка),Мистер Исключительный (Суперсемейка),Эпоха играет роль
Фэнтези,Женщины,Малефисента,Малефисента,Эпоха играет роль
Комиксы,Мужчины,Локи,Локи,Эпоха играет роль
Комиксы,Женщины,Женщина кошка в Темном рыцаре,Женщина кошка в Темном рыцаре,Эпоха играет роль
Мультфильм/ Анимационный,Мужчины,Салли из Корпорации монстров,Салли из Корпорации монстров,
Фэнтези,Женщины,Дейнерис Бурерождённая,Дейнерис Бурерождённая,
Комиксы,Мужчины,Железный человек,Железный человек,
Комиксы,Женщины,Наташа Романофф,Наташа Романофф,
Вестерн,Женщины,Пенелопа крус (бандитка),Пенелопа крус (бандитка),
Военный,Мужчины,Джон Миллер (Спаси рядового Райана),Джон Миллер (Спаси рядового Райана),
Военный,Женщины,Шушанна (Бесславные ублюдки),Шушанна (Бесславные ублюдки),
История,Мужчины,Максимус (Гладиатор),Максимус (Гладиатор),
История,Женщины,Натали Портман (Болейн),Натали Портман (Болейн),
Катастрофа,Мужчины,Брэд Питт в Войне Миров Z,Брэд Питт в Войне Миров Z,
Катастрофа,Женщины,Бен Афллек в Армагеддоне,Бен Афллек в Армагеддоне,
Персонаж-хейтер,Мужчины,Джокер,Джокер,
Персонаж-хейтер,Женщины,Серсея Ланнистер,Серсея Ланнистер,
